hour_ending,total,pumping,process,other
6706.0,1453.50275403,508.72596391,726.751377015,218.025413104
6707.0,1448.32596802,506.914088807,724.16298401,217.248895203
6708.0,1377.71887628,482.201606698,688.85943814,206.657831442
6709.0,1260.04039004,441.014136514,630.02019502,189.006058506
6710.0,1173.63609561,410.772633463,586.818047805,176.045414341
6711.0,1196.42462787,418.748619754,598.212313935,179.46369418
6712.0,1060.22712362,371.079493267,530.11356181,159.034068543
6713.0,1069.19310352,374.217586232,534.59655176,160.378965528
6714.0,1001.41456496,350.495097736,500.70728248,150.212184744
6715.0,1099.23980998,384.733933493,549.61990499,164.885971497
6716.0,1055.10370653,369.286297285,527.551853265,158.265555979
6717.0,1150.367243,402.62853505,575.1836215,172.55508645
6718.0,1217.23850979,426.033478426,608.619254895,182.585776469
6719.0,1173.7962024,410.82867084,586.8981012,176.06943036
6720.0,1127.79218646,394.727265261,563.89609323,169.168827969
6721.0,964.590004642,337.606501625,482.295002321,144.688500696
6722.0,972.11502349,340.240258221,486.057511745,145.817253523
6723.0,869.486574949,304.320301232,434.743287474,130.422986242
6724.0,785.270406568,274.844642299,392.635203284,117.790560985
6725.0,859.133002917,300.696551021,429.566501458,128.869950438
6726.0,811.207705575,283.922696951,405.603852787,121.681155836
6727.0,848.779430886,297.07280081,424.389715443,127.316914633
6728.0,1111.30118771,388.955415698,555.650593855,166.695178156
6729.0,1327.87229753,464.755304135,663.936148765,199.18084463
6730.0,1433.75625068,501.814687738,716.87812534,215.063437602
6731.0,1438.39934741,503.439771593,719.199673705,215.759902111
6732.0,1352.90232476,473.515813666,676.45116238,202.935348714
6733.0,1224.33657721,428.517802023,612.168288605,183.650486582
6734.0,1151.38125264,402.983438424,575.69062632,172.707187896
6735.0,1122.08171117,392.72859891,561.040855585,168.312256676
6736.0,1062.6820943,371.938733005,531.34104715,159.402314145
6737.0,1035.35720317,362.375021109,517.678601585,155.303580476
6738.0,977.878867714,342.2576037,488.939433857,146.681830157
6739.0,1045.12371699,365.793300946,522.561858495,156.768557549
6740.0,1060.7608129,371.266284515,530.38040645,159.114121935
6741.0,1100.36055747,385.126195114,550.180278735,165.05408362
6742.0,1147.21847625,401.526466688,573.609238125,172.082771438
6743.0,1164.93696035,407.727936122,582.468480175,174.740544052
6744.0,1137.87891385,398.257619847,568.939456925,170.681837077
6745.0,1028.20576682,359.872018387,514.10288341,154.230865023
6746.0,863.509255013,302.228239255,431.754627507,129.526388252
6747.0,841.414518822,294.495081588,420.707259411,126.212177823
6748.0,819.479889415,286.817961295,409.739944708,122.921983412
6749.0,783.989552296,274.396343304,391.994776148,117.598432844
6750.0,768.40582532,268.942038862,384.20291266,115.260873798
6751.0,854.703381893,299.146183663,427.351690947,128.205507284
6752.0,1096.09104323,383.63186513,548.045521615,164.413656484
6753.0,1371.15449813,479.904074346,685.577249065,205.673174719
6754.0,1391.43469077,487.002141769,695.717345385,208.715203616
6755.0,1416.99840728,495.949442548,708.49920364,212.549761092
6756.0,1440.53410453,504.186936585,720.267052265,216.080115679
6757.0,1327.49871503,464.62455026,663.749357515,199.124807255
6758.0,1197.54537535,419.140881373,598.772687675,179.631806302
6759.0,1154.42328153,404.048148535,577.211640765,173.163492229
6760.0,1152.02167977,403.207587919,576.010839885,172.803251965
6761.0,983.909556577,344.368344802,491.954778288,147.586433487
6762.0,1074.47662739,376.066819586,537.238313695,161.171494108
6763.0,1029.43325216,360.301638256,514.71662608,154.414987824
6764.0,1115.19711945,390.318991807,557.598559725,167.279567917
6765.0,1182.81555123,413.98544293,591.407775615,177.422332684
6766.0,1182.3885998,413.83600993,591.1942999,177.35828997
6767.0,1169.52668816,409.334340856,584.76334408,175.429003224
6768.0,1090.27383008,381.595840528,545.13691504,163.541074512
