cluster,kwh_ann_tot,customer_count,util,sector,building_type,rate_class,kwh_bin,kw_bin
sdge-ind-SDG1-plas_rub-lt50kW-nonCare-0.2_0.4,243987.315331,32,sdge,ind,plas_rub,nonCare,0.2_0.4,<50kW
sdge-ind-SDG1-plas_rub-lt50kW-nonCare-0.4_0.6,500135.571924,32,sdge,ind,plas_rub,nonCare,0.4_0.6,<50kW
sdge-ind-SDG1-plas_rub-lt50kW-nonCare-0.6_0.8,942795.694262,32,sdge,ind,plas_rub,nonCare,0.6_0.8,<50kW
sdge-ind-SDG1-plas_rub-lt50kW-nonCare-0.8_1.0,2282679.50709,32,sdge,ind,plas_rub,nonCare,0.8_1.0,<50kW
sdge-ind-SDG1-water-50_200kW-nonCare-0.0_0.33,4575832.02227,84,sdge,ind,water,nonCare,0.0_0.33,50_200kW
sdge-ind-SDG1-water-50_200kW-nonCare-0.33_0.66,16015787.0554,84,sdge,ind,water,nonCare,0.33_0.66,50_200kW
sdge-ind-SDG1-water-50_200kW-nonCare-0.66_1.0,37948561.2813,86,sdge,ind,water,nonCare,0.66_1.0,50_200kW
sdge-ind-SDG1-water-lt50kW-Care-0.0_1.0,519079.987857,65,sdge,ind,water,Care,0.0_1.0,<50kW
sdge-ind-SDG1-water-lt50kW-nonCare-0.0_0.1,4948.55922701,291,sdge,ind,water,nonCare,0.0_0.1,<50kW
sdge-ind-SDG1-water-lt50kW-nonCare-0.1_0.2,59061.163574800004,288,sdge,ind,water,nonCare,0.1_0.2,<50kW
sdge-ind-SDG1-water-lt50kW-nonCare-0.2_0.3,169363.371876,289,sdge,ind,water,nonCare,0.2_0.3,<50kW
sdge-ind-SDG1-water-lt50kW-nonCare-0.3_0.4,354434.870519,289,sdge,ind,water,nonCare,0.3_0.4,<50kW
sdge-ind-SDG1-water-lt50kW-nonCare-0.4_0.5,651575.92261,289,sdge,ind,water,nonCare,0.4_0.5,<50kW
sdge-ind-SDG1-water-lt50kW-nonCare-0.5_0.6,1129344.32727,289,sdge,ind,water,nonCare,0.5_0.6,<50kW
sdge-ind-SDG1-water-lt50kW-nonCare-0.6_0.7,1870878.7290599998,289,sdge,ind,water,nonCare,0.6_0.7,<50kW
sdge-ind-SDG1-water-lt50kW-nonCare-0.7_0.8,3089982.15013,289,sdge,ind,water,nonCare,0.7_0.8,<50kW
sdge-ind-SDG1-water-lt50kW-nonCare-0.8_0.9,6301567.21348,289,sdge,ind,water,nonCare,0.8_0.9,<50kW
sdge-ind-SDG1-water-lt50kW-nonCare-0.9_1.0,26106880.3076,290,sdge,ind,water,nonCare,0.9_1.0,<50kW
sdge-ind-SDG1-water-gt200kW-nonCare-0.0_0.2,4176011.34617,24,sdge,ind,water,nonCare,0.0_0.2,>200kW
