hour_ending,total,pumping,other
7061.0,1087.73311083,870.186488664,217.546622166
7062.0,1096.71706577,877.373652616,219.343413154
7063.0,1260.23731045,1008.18984836,252.04746209
7064.0,1243.31190729,994.649525832,248.662381458
7065.0,1492.04174506,1193.63339605,298.408349012
7066.0,1737.73604857,1390.18883886,347.547209714
7067.0,1771.06560154,1416.85248123,354.213120308
7068.0,1947.31056055,1557.84844844,389.46211211
7069.0,2250.00545189,1800.00436151,450.001090378
7070.0,2525.77914036,2020.62331229,505.155828072
7071.0,2581.15464419,2064.92371535,516.230928838
7072.0,2309.27502492,1847.42001994,461.855004984
7073.0,2163.53871834,1730.83097467,432.707743668
7074.0,2041.28947485,1633.03157988,408.25789497
7075.0,1789.49344085,1431.59475268,357.89868817
7076.0,1747.14927098,1397.71941678,349.429854196
7077.0,1705.01973485,1364.01578788,341.00394697
7078.0,1382.82383552,1106.25906842,276.564767104
7079.0,1368.84198074,1095.07358459,273.768396148
7080.0,1344.15910113,1075.3272809,268.831820226
7081.0,1356.33190014,1085.06552011,271.266380028
7082.0,1311.81073095,1049.44858476,262.36214619
7083.0,1194.83534497,955.868275976,238.967068994
7084.0,1170.27511321,936.220090568,234.055022642
7085.0,1199.34265342,959.474122736,239.868530684
7086.0,1223.13633612,978.509068896,244.627267224
7087.0,1231.32308005,985.05846404,246.26461601
7088.0,1238.40599333,990.724794664,247.681198666
7089.0,1418.75965528,1135.00772422,283.751931056
7090.0,1718.32702647,1374.66162118,343.665405294
7091.0,1897.14759031,1517.71807225,379.429518062
7092.0,2025.77452195,1620.61961756,405.15490439
7093.0,2262.39288463,1809.9143077,452.478576926
7094.0,2435.90892901,1948.72714321,487.181785802
7095.0,2570.30030955,2056.24024764,514.06006191
7096.0,2417.05182223,1933.64145778,483.410364446
7097.0,2241.08282087,1792.8662567,448.216564174
7098.0,1920.144062,1536.1152496,384.0288124
7099.0,1635.11046092,1308.08836874,327.022092184
7100.0,1578.53914057,1262.83131246,315.707828114
7101.0,1437.67808599,1150.14246879,287.535617198
7102.0,1407.38406729,1125.90725383,281.476813458
7103.0,1401.58895642,1121.27116514,280.317791284
7104.0,1402.60080118,1122.08064094,280.520160236
7105.0,1381.26007545,1105.00806036,276.25201509
7106.0,1397.11230993,1117.68984794,279.422461986
7107.0,1274.06585542,1019.25268434,254.813171084
7108.0,1280.56619142,1024.45295314,256.113238284
7109.0,1262.93556313,1010.3484505,252.587112626
7110.0,1275.44564372,1020.35651498,255.089128744
7111.0,1400.63843559,1120.51074847,280.127687118
7112.0,1430.96311626,1144.77049301,286.192623252
7113.0,1729.24268503,1383.39414802,345.848537006
7114.0,2003.85121894,1603.08097515,400.770243788
7115.0,2096.02107747,1676.81686198,419.204215494
7116.0,2203.49125515,1762.79300412,440.69825103
7117.0,2442.07198342,1953.65758674,488.414396684
7118.0,2594.09399226,2075.27519381,518.818798452
7119.0,2697.7007627,2158.16061016,539.54015254
7120.0,2616.69185844,2093.35348675,523.338371688
7121.0,2363.3014024,1890.64112192,472.66028048
7122.0,2081.08870185,1664.87096148,416.21774037
7123.0,1853.42363214,1482.73890571,370.684726428
7124.0,1894.2347039,1515.38776312,378.84694078
7125.0,1778.08719089,1422.46975271,355.617438178
7126.0,1666.75360596,1333.40288477,333.350721192
7127.0,1648.81635805,1319.05308644,329.76327161
