hour_ending,hvac,lighting,total,other
4483.0,93.2657213859,284.303552441,497.313329906,119.744056079
4484.0,85.3311812764,242.085395827,466.900513064,139.48393596
4485.0,88.0867083949,219.152885854,467.117367327,159.877773078
4486.0,78.1380104249,214.092456991,499.9888285,207.758361084
4487.0,85.4481267702,181.940047263,484.669342039,217.281168006
4488.0,83.9273474573,169.753380956,470.551089963,216.870361549
4489.0,85.178057942,161.98102386,463.906105262,216.74702346
4490.0,83.342637757,158.636589843,449.977179253,207.997951653
4491.0,82.1243844378,160.778365857,448.08963172,205.186881426
4492.0,77.2911107285,162.95783806,435.518411652,195.269462863
4493.0,71.5879010527,173.284014216,442.241059636,197.369144367
4494.0,88.4483464407,261.154737852,438.142010531,88.5389262376
4495.0,84.6068792662,271.903509892,425.494702126,68.9843129684
4496.0,80.4861736752,282.062883634,424.704115312,62.155058002
4497.0,79.8566996795,347.514778013,516.060011106,88.6885334137
4498.0,99.745899669,405.588991992,603.622794236,98.2879025751
4499.0,119.491956107,490.014717723,719.034827766,109.528153935
4500.0,138.85625003,547.965636454,811.781666402,124.959779918
4501.0,147.802636266,559.354009491,835.232154582,128.075508825
4502.0,155.417478667,551.931144447,834.119350058,126.770726944
4503.0,168.908663387,567.238561518,860.915383287,124.768158382
4504.0,166.127011132,566.975745572,847.086176066,113.983419362
4505.0,160.286010318,508.890815741,784.996720038,115.819893979
4506.0,144.51478147,396.676948981,679.358388674,138.166658223
4507.0,125.253331213,283.964731744,549.037015092,139.818952134
4508.0,83.8421591902,183.598213062,433.37923149,165.938859238
4509.0,62.0777237032,158.899181207,393.895323723,172.918418813
4510.0,62.8509922718,148.885566628,377.506533725,165.769974824
4511.0,64.4694602015,133.586369811,363.638535388,165.582705376
4512.0,63.2659087601,125.328648704,348.013076999,159.418519535
4513.0,61.3719807715,115.33128887,331.371412759,154.668143118
4514.0,59.6284698956,114.467487234,323.449345654,149.353388524
4515.0,54.7228373302,113.971226076,308.096005919,139.401942512
4516.0,50.3305554253,128.631325736,314.251835835,135.289954674
4517.0,43.0653506905,135.039007636,306.976811628,128.872453302
4518.0,47.2399118811,184.98668134,303.609595878,71.3830026568
4519.0,41.2266957821,189.655632211,294.328614171,63.4462861779
4520.0,42.730186504,199.506114321,303.029384864,60.7930840386
4521.0,56.1804157187,239.77849806,368.736696384,72.7777826057
4522.0,71.9117756033,284.616916749,440.136339348,83.6076469952
4523.0,95.5606426426,381.35977023,591.694453628,114.774040755
4524.0,112.24560967,446.52806297,693.531262964,134.757590325
4525.0,116.592248651,485.852441602,746.702545027,144.257854774
4526.0,115.811095031,487.631024821,747.908710112,144.46659026
4527.0,121.810214248,491.57409706,754.129333175,140.745021867
4528.0,128.07246646,504.734433218,765.327389024,132.520489346
4529.0,123.002091757,464.227636392,709.590230321,122.360502171
4530.0,108.413517098,378.885272037,619.854265953,132.555476818
4531.0,98.1073381199,292.005506991,513.881293842,123.768448732
4532.0,207.147802466,657.775726601,1207.31504528,342.391516218
4533.0,419.68419746,1099.66265752,2230.39266148,711.045806505
4534.0,401.901471791,976.142339689,2208.83425461,830.790443129
4535.0,383.072813532,786.992652791,2048.47628873,878.410822405
4536.0,366.279625607,707.488370364,1948.12966818,874.361672207
4537.0,396.116312272,754.700508821,2148.3263176,997.509496508
4538.0,404.31803372,809.732181088,2267.17896917,1053.12875436
4539.0,407.639410703,890.35389507,2386.93080763,1088.93750186
4540.0,358.225912876,926.934907152,2246.71347347,961.552653445
4541.0,287.67400899,935.475684066,2109.45763253,886.307939473
4542.0,321.182893063,1326.09547439,2158.57469794,511.296330484
4543.0,286.738777416,1393.75289437,2147.19430605,466.702634259
4544.0,253.859129415,1335.72709602,1994.76649723,405.180271798
4545.0,263.946432767,1281.37227634,1931.14982775,385.831118647
4546.0,271.811290477,1309.07425599,1961.30760384,380.422057374
4547.0,302.563703759,1446.16973671,2176.17887069,427.445430227
4548.0,315.975578529,1488.17607878,2247.19313735,443.041480038
4549.0,309.335161602,1450.98316705,2183.04998135,422.731652698
4550.0,362.111771664,1654.01285144,2501.98735094,485.86272784
4551.0,374.183164591,1689.43943716,2546.28399737,482.661395619
4552.0,383.897515526,1679.84790292,2510.02118917,446.275770719
4553.0,389.280411005,1635.1997059,2459.80580163,435.325684728
4554.0,360.612309412,1439.59510116,2304.93786674,504.730456162
4555.0,366.358279354,1296.19944449,2211.38141069,548.823686838
4556.0,324.718938286,1078.51640444,1964.66282676,561.427484035
4557.0,385.625859024,1014.22077427,2055.81289798,655.966264689
4558.0,382.258802075,923.50690027,2091.6798618,785.914159458
4559.0,381.141430624,782.899428027,2037.96928396,873.928425311
4560.0,362.190171473,695.534071635,1917.04011025,859.315867144
4561.0,418.361813961,796.553643097,2267.83479231,1052.91933525
4562.0,429.151879499,836.03553731,2343.09424907,1077.90683226
4563.0,399.723775405,851.885026764,2284.61635647,1033.0075543
4564.0,179.341116366,475.421331527,1154.59413857,499.831690676
4565.0,143.799082342,463.611772879,1047.78819946,440.377344236
4566.0,170.852024626,682.709855507,1113.65584667,260.093966535
4567.0,139.295530658,665.478542767,1027.78822216,223.014148733
4568.0,133.163485387,686.728493807,1028.96299297,209.071013773
4569.0,150.5492251,716.735951048,1087.22183382,219.936657669
4570.0,164.605559654,769.021309832,1159.31435047,225.687480989
4571.0,182.051982851,834.866426156,1266.60241092,249.684001913
4572.0,194.001291431,863.130812066,1318.27100645,261.138902955
4573.0,204.484842704,898.079958827,1368.58606213,266.021260598
4574.0,205.97180045,907.362458985,1384.39976875,271.065509314
4575.0,215.168510096,933.221140326,1418.95927871,270.569628284
4576.0,216.028500474,907.773960024,1369.24282072,245.440360218
4577.0,215.87662735,873.875843865,1327.75536475,238.002893532
4578.0,199.619214055,764.585253099,1229.19584627,264.991379113
4579.0,183.455265247,610.484179237,1053.47279448,259.533349994
4580.0,156.411334246,488.519859458,900.160797743,255.22960404
4581.0,177.357299631,450.409522832,919.821745443,292.05492298
4582.0,182.66688593,412.904722635,947.181484026,351.60987546
4583.0,175.929870808,349.686237052,916.214309489,390.598201629
4584.0,165.713845185,320.60412844,889.508457152,403.190483528
4585.0,165.868411348,308.145518953,882.601860746,408.587930446
4586.0,169.094120831,308.08329461,869.835320199,392.657904758
4587.0,166.220490225,320.910934571,867.606105303,380.474680506
4588.0,142.957569281,356.16133891,870.503941951,371.38503376
4589.0,121.742788671,380.990095559,864.588975328,361.856091098
4590.0,130.802310343,516.596929387,848.152783511,200.753543781
4591.0,106.595359622,483.194900715,751.204218102,161.413957765
4592.0,104.053338568,495.150376016,748.283051532,149.079336948
4593.0,127.222870935,546.163122283,840.505539737,167.11954652
4594.0,140.006346211,600.629049951,916.656466595,176.021070433
4595.0,149.032539753,648.106291024,990.360568798,193.221738021
4596.0,156.497834393,663.470688453,1019.65340847,199.684885626
4597.0,168.064399026,688.197959863,1059.07669466,202.814335773
4598.0,174.30093398,696.680330518,1076.39351184,205.412247344
4599.0,171.02939215,669.577629526,1032.3468754,191.739853725
4600.0,170.897576552,672.016208582,1021.58858405,178.674798916
4601.0,173.496893506,618.381072971,956.084031653,164.206065176
4602.0,147.069566079,520.044019947,844.485802423,177.372216396
4603.0,128.254535347,385.025768653,673.870818736,160.590514736
4604.0,107.465539203,299.965780845,562.604823335,155.173503287
4605.0,114.248865808,262.610154991,538.834807716,161.975786916
