hour_ending,hvac,lighting,total,other
5105.0,134433.687094,221392.738786,426552.272938,70725.8470585
5106.0,111247.224319,202248.472248,407463.465624,93967.769056
5107.0,95194.3729598,156147.1653,365456.830256,114115.291996
5108.0,98738.8986251,131242.898413,339529.098238,109547.3012
5109.0,95690.770108,115516.297543,326841.617007,115634.549356
5110.0,84951.2594566,102586.675014,317090.135251,129552.20078
5111.0,63848.5681885,92033.2149878,305997.032855,150115.249678
5112.0,63005.5135828,86417.1347632,294915.640702,145492.992356
5113.0,59338.5878801,82020.8963881,282410.568065,141051.083796
5114.0,57560.0749757,80222.6773291,276810.151541,139027.399237
5115.0,56442.9155898,79156.7774868,272577.580187,136977.88711
5116.0,71151.8408021,82450.5093132,271942.221123,118339.871008
5117.0,68844.1994311,92091.8023003,275761.725466,114825.723735
5118.0,65639.8641664,125037.1327,283120.206109,92443.2092432
5119.0,71691.0445409,138778.814685,291641.405785,81171.5465598
5120.0,73734.8117279,148839.09667,303466.176539,80892.2681411
5121.0,74900.313789,158642.643858,317549.280836,84006.3231888
5122.0,75943.236294,162176.561469,326489.753989,88369.956226
5123.0,79385.8359335,165817.051013,337466.536334,92263.6493877
5124.0,80652.5111205,167344.758526,340985.046854,92987.7772074
5125.0,80953.0531782,167974.09114,339777.896639,90850.752321
5126.0,80857.7910566,166723.147386,333728.509606,86147.5711634
5127.0,85723.7520761,167877.148966,333427.290902,79826.3898599
5128.0,98187.070034,169682.62582,337210.318079,69340.6222249
5129.0,108851.03928,171814.749754,335244.536491,54578.7474571
5130.0,95680.3371554,160383.000938,329786.721667,73723.3835735
5131.0,82010.9096355,132428.131258,319772.611339,105333.570446
5132.0,86549.4467484,117176.380906,314098.770232,110372.942577
5133.0,85158.9956862,104060.742466,307320.519944,118100.781791
5134.0,83891.6755041,94506.9101055,302028.623967,123630.038357
5135.0,62944.6182656,87410.1733557,296313.061481,145958.26986
5136.0,61132.0644935,83799.5091464,289094.85808,144163.284441
5137.0,57986.6762438,81991.7159322,282889.125924,142910.733748
5138.0,57281.9006798,81149.4833743,280102.707219,141671.323165
5139.0,55934.3785262,81269.8963923,277410.729471,140206.454552
5140.0,55828.5067706,82016.2378933,275774.71579,137929.971126
5141.0,55910.4317594,84419.6336448,278677.411043,138347.345639
5142.0,61476.9669813,103857.724008,282819.489301,117484.798312
5143.0,76004.4549936,110502.633978,286137.019554,99629.9305823
5144.0,81905.9441608,119362.69206,296083.076151,94814.43993
5145.0,91567.9140912,123571.791206,305251.559711,90111.8544134
5146.0,100635.966818,122910.795822,310730.407677,87183.6450369
5147.0,106486.158517,125115.737521,324111.731374,92509.8353358
5148.0,109955.519974,126729.359288,331560.579715,94875.700453
5149.0,113088.63067,125699.11931,332160.432722,93372.682742
5150.0,120375.766582,125247.109047,332645.843566,87022.9679376
5151.0,117357.46235,123972.237563,330891.392145,89561.6922317
5152.0,134417.73048,121304.253343,329308.182603,73586.1987801
5153.0,144092.218898,118124.823333,327949.098203,65732.0559715
5154.0,109951.844607,106184.608986,320049.654702,103913.20111
5155.0,81063.794872,90589.3223051,315033.797126,143380.679949
5156.0,79336.6020658,89811.7868146,312318.273372,143169.884491
5157.0,73505.0131862,88813.8756275,309979.538997,147660.650184
5158.0,66580.0989121,87535.9920878,306423.1338,152307.0428
5159.0,61172.2709284,85289.9305127,298804.559963,152342.358522
5160.0,55732.6950089,84121.8012973,291029.288113,151174.791807
