hour_ending,cooling,poolpump,plugload,other,total
7816.0,51.8509851665,1704.402504,4009.46332017,9355.41441373,15121.1312231
7817.0,8.86233102602,1417.821552,4414.52894517,10300.5675387,16141.7803669
7818.0,0.762554878304,990.463992,5681.67925278,13257.2515898,19930.1573895
7819.0,0.0521603471649,754.1604,5968.64192574,13926.8311601,20649.6856461
7820.0,0.175750972699,688.799832,5839.52271774,13625.5530081,20154.0513088
7821.0,0.762554878304,553.05096,5500.82682741,12835.2625973,18889.9029396
7822.0,0.0521603471649,397.191144,5193.83795478,12118.9552278,17710.0364869
7823.0,0.63896425277,276.52548,4599.98207691,10733.2915128,15610.438034
7824.0,0.63896425277,306.691896,3983.77448661,9295.47380209,13586.579149
7825.0,1.3431289395,326.80284,3363.70240002,7848.63893338,11540.4873023
7826.0,1.3431289395,251.3868,3091.92798096,7214.49862224,10559.1565321
7827.0,0.0521603471649,316.747368,2826.39457233,6594.92066876,9738.11476944
7828.0,0.0,361.996992,2775.37185766,6475.86766788,9613.23651754
7829.0,0.0,356.969256,2662.87983418,6213.38627974,9233.23536992
7830.0,0.0,477.63492,2839.78435992,6626.16350648,9943.5827864
7831.0,0.0,879.8538,3219.98147559,7513.29010971,11613.1253853
7832.0,0.0,1151.351544,3581.64713139,8357.17663991,13090.1753153
7833.0,0.63896425277,1407.76608,4009.5386523,9355.5901887,14773.5338853
7834.0,2.05352347063,1935.67836,4100.21339277,9567.16458313,15605.1098594
7835.0,5.81655613933,2332.869504,4060.10051862,9473.56787678,15872.3544555
7836.0,46.4302397751,2523.923472,3823.10939646,8920.58859174,15314.0517
7837.0,96.3422842482,2347.952712,3823.10240088,8920.57226872,15187.9696658
7838.0,100.425232994,2257.453464,3871.32076887,9033.08179403,15262.2812599
7839.0,98.7107661552,2041.260816,3801.23518758,8869.54877102,14810.7555408
7840.0,53.6597918313,1704.402504,4030.56308382,9404.64719558,15193.2725752
7841.0,51.0761889224,1417.821552,4419.808896,10312.887424,16201.5940609
7842.0,8.37989183874,990.463992,5656.19088459,13197.7787307,19852.8134991
7843.0,5.1123914526,754.1604,5941.9016844,13864.4372636,20565.6117395
