hour_ending,total,pumping,process,other
232.0,2779.46609345,1389.73304672,694.866523362,694.866523362
233.0,3116.55148181,1558.27574091,779.137870453,779.137870453
234.0,2924.76022016,1462.38011008,731.19005504,731.19005504
235.0,3204.42127005,1602.21063503,801.105317513,801.105317513
236.0,2904.9782138,1452.4891069,726.24455345,726.24455345
237.0,3192.17526612,1596.08763306,798.04381653,798.04381653
238.0,3058.86338326,1529.43169163,764.715845815,764.715845815
239.0,4281.50441628,2140.75220814,1070.37610407,1070.37610407
240.0,4202.60247092,2101.30123546,1050.65061773,1050.65061773
241.0,4110.36180127,2055.18090063,1027.59045032,1027.59045032
242.0,2775.28361211,1387.64180605,693.820903027,693.820903027
243.0,2565.82042478,1282.91021239,641.455106195,641.455106195
244.0,2139.24500766,1069.62250383,534.811251915,534.811251915
245.0,2323.04810674,1161.52405337,580.762026685,580.762026685
246.0,2383.9013263,1191.95066315,595.975331575,595.975331575
247.0,2266.33968851,1133.16984426,566.584922128,566.584922128
248.0,2171.7251781,1085.86258905,542.931294525,542.931294525
249.0,2592.12107323,1296.06053662,648.030268308,648.030268308
250.0,2450.40654768,1225.20327384,612.60163692,612.60163692
251.0,2686.84862368,1343.42431184,671.71215592,671.71215592
252.0,2519.21024979,1259.6051249,629.802562448,629.802562448
253.0,2618.42172169,1309.21086085,654.605430423,654.605430423
254.0,2613.1842,1306.5921,653.29605,653.29605
255.0,2516.45960891,1258.22980446,629.114902228,629.114902228
256.0,2999.5550442,1499.7775221,749.88876105,749.88876105
257.0,3204.53431009,1602.26715504,801.133577522,801.133577522
258.0,2880.74996601,1440.37498301,720.187491503,720.187491503
259.0,3357.55283928,1678.77641964,839.38820982,839.38820982
260.0,2821.63002701,1410.81501351,705.407506753,705.407506753
261.0,3300.9951411,1650.49757055,825.248785275,825.248785275
262.0,3302.50234158,1651.25117079,825.625585395,825.625585395
263.0,3985.52792114,1992.76396057,996.381980285,996.381980285
264.0,2291.77369669,1145.88684835,572.943424173,572.943424173
265.0,2112.0023589,1056.00117945,528.000589725,528.000589725
266.0,1637.46028636,818.73014318,409.36507159,409.36507159
267.0,1319.51634416,659.75817208,329.87908604,329.87908604
268.0,1361.19043755,680.595218775,340.297609388,340.297609388
269.0,1396.57196892,698.28598446,349.14299223,349.14299223
270.0,1282.58993229,641.294966145,320.647483072,320.647483072
271.0,1604.98011592,802.49005796,401.24502898,401.24502898
272.0,1866.55476,933.27738,466.63869,466.63869
273.0,2711.94351175,1355.97175588,677.985877938,677.985877938
274.0,2972.35007546,1486.17503773,743.087518865,743.087518865
275.0,2758.96816686,1379.48408343,689.742041715,689.742041715
276.0,2842.24099363,1421.12049682,710.560248408,710.560248408
277.0,1816.66642396,908.33321198,454.16660599,454.16660599
278.0,2104.5417165,1052.27085825,526.135429125,526.135429125
279.0,2921.89653924,1460.94826962,730.47413481,730.47413481
