hour_ending,total
2888.0,32257.6498165
2889.0,38646.2941871
2890.0,46178.9713837
2891.0,53020.5489928
2892.0,57929.4498268
2893.0,60616.8815183
2894.0,62857.3624658
2895.0,65468.960458
2896.0,66704.4885636
2897.0,63053.3998223
2898.0,60673.1132448
2899.0,59495.5821775
2900.0,55598.6070933
2901.0,54128.8753116
2902.0,50414.6994661
2903.0,43842.3372265
2904.0,36964.9641557
2905.0,32795.9677554
2906.0,30878.8277642
2907.0,28948.897662
2908.0,27110.470484
2909.0,26142.9788274
2910.0,28079.4727244
2911.0,30864.8946625
2912.0,33255.8357694
2913.0,39280.5188025
2914.0,48652.6838782
2915.0,55957.1960159
2916.0,63703.1340839
2917.0,68150.5513174
2918.0,70265.637241
2919.0,73696.5057164
2920.0,72067.5781536
2921.0,67580.1831076
2922.0,65118.7364287
2923.0,63874.8349721
2924.0,60783.800652
2925.0,58982.4488288
2926.0,55539.9477902
2927.0,50323.5092164
2928.0,43867.1556822
2929.0,38434.2289041
2930.0,34719.829316
2931.0,31862.0134301
2932.0,30606.9414461
2933.0,29024.6814061
2934.0,27668.3682546
2935.0,28343.6650915
2936.0,28770.3244373
2937.0,33263.1484685
2938.0,40402.8928379
2939.0,47079.3932507
2940.0,52328.4371606
2941.0,54470.8415873
2942.0,56380.8021638
2943.0,56928.2633394
2944.0,57098.2408031
2945.0,57192.9408931
2946.0,58198.4121925
2947.0,58377.9985518
2948.0,55136.09546
2949.0,54560.7396687
2950.0,51796.4534973
2951.0,48387.3164781
2952.0,43523.6027008
2953.0,38318.8759728
2954.0,34962.938049
2955.0,32232.9182148
2956.0,30374.5467278
2957.0,27673.78431
2958.0,26834.9061
2959.0,28973.6909002
2960.0,30569.62862
2961.0,34516.7510507
2962.0,38957.0444134
2963.0,44217.1072681
2964.0,49139.9504342
2965.0,52234.178737
2966.0,52217.429314
2967.0,51546.950472
2968.0,50464.9171074
2969.0,50122.718783
2970.0,49682.4181443
2971.0,49355.9056679
2972.0,47467.0743775
2973.0,46652.2355764
2974.0,43891.2303053
2975.0,40170.4166897
2976.0,36322.4900701
2977.0,32785.957992
