hour_ending,total,pumping,process,other
5226.0,10937.0264196,3827.95924686,5468.5132098,1640.55396294
5227.0,11037.1819091,3863.01366818,5518.59095455,1655.57728636
5228.0,10954.3158637,3834.0105523,5477.15793185,1643.14737956
5229.0,11098.4728417,3884.4654946,5549.23642085,1664.77092625
5230.0,11209.6066879,3923.36234076,5604.80334395,1681.44100318
5231.0,11202.1214447,3920.74250565,5601.06072235,1680.31821671
5232.0,11103.2575266,3886.14013431,5551.6287633,1665.48862899
5233.0,10917.2125406,3821.02438921,5458.6062703,1637.58188109
5234.0,9284.69567404,3249.64348591,4642.34783702,1392.70435111
5235.0,8080.51084234,2828.17879482,4040.25542117,1212.07662635
5236.0,7978.44734967,2792.45657238,3989.22367484,1196.76710245
5237.0,8362.51371093,2926.87979883,4181.25685546,1254.37705664
5238.0,8552.81501176,2993.48525412,4276.40750588,1282.92225176
5239.0,8397.79709264,2939.22898242,4198.89854632,1259.6695639
5240.0,9252.93475973,3238.52716591,4626.46737987,1387.94021396
5241.0,9389.6945562,3286.39309467,4694.8472781,1408.45418343
5242.0,9537.13917044,3337.99870965,4768.56958522,1430.57087557
5243.0,9497.4233506,3324.09817271,4748.7116753,1424.61350259
5244.0,11555.3955702,4044.38844957,5777.6977851,1733.30933553
5245.0,12031.515746,4211.0305111,6015.757873,1804.7273619
5246.0,11985.400777,4194.89027195,5992.7003885,1797.81011655
5247.0,11663.5059652,4082.22708782,5831.7529826,1749.52589478
5248.0,11777.4871393,4122.12049875,5888.74356965,1766.62307089
5249.0,11324.8207255,3963.68725392,5662.41036275,1698.72310882
5250.0,11248.0309364,3936.81082774,5624.0154682,1687.20464046
5251.0,11399.2181722,3989.72636027,5699.6090861,1709.88272583
5252.0,11580.7720124,4053.27020434,5790.3860062,1737.11580186
5253.0,11341.6698612,3969.58445142,5670.8349306,1701.25047918
5254.0,10726.5002852,3754.27509982,5363.2501426,1608.97504278
5255.0,10349.2293506,3622.23027271,5174.6146753,1552.38440259
5256.0,10724.871144,3753.7049004,5362.435572,1608.7306716
5257.0,10532.7205478,3686.45219173,5266.3602739,1579.90808217
5258.0,10358.6666278,3625.53331973,5179.3333139,1553.79999417
5259.0,10217.9293786,3576.27528251,5108.9646893,1532.68940679
5260.0,9102.96571053,3186.03799869,4551.48285526,1365.44485658
5261.0,8518.63240111,2981.52134039,4259.31620056,1277.79486017
5262.0,8773.18937794,3070.61628228,4386.59468897,1315.97840669
5263.0,8959.41048738,3135.79367058,4479.70524369,1343.91157311
5264.0,8746.93231893,3061.42631163,4373.46615946,1312.03984784
5265.0,9228.29216493,3229.90225773,4614.14608247,1384.24382474
5266.0,9842.22887739,3444.78010709,4921.11443869,1476.33433161
5267.0,10469.536289,3664.33770115,5234.7681445,1570.43044335
5268.0,11844.5607892,4145.59627622,5922.2803946,1776.68411838
5269.0,11044.19749,3865.4691215,5522.098745,1656.6296235
5270.0,11767.0665066,4118.47327731,5883.5332533,1765.05997599
5271.0,11666.940371,4083.42912985,5833.4701855,1750.04105565
5272.0,11841.8895847,4144.66135464,5920.94479235,1776.28343771
5273.0,11564.2604465,4047.49115627,5782.13022325,1734.63906698
5274.0,11529.7989738,4035.42964083,5764.8994869,1729.46984607
5275.0,11625.2725171,4068.84538098,5812.63625855,1743.79087757
5276.0,12373.3858833,4330.68505915,6186.69294165,1856.00788249
5277.0,12109.1421211,4238.19974239,6054.57106055,1816.37131817
5278.0,12761.3269587,4466.46443555,6380.66347935,1914.19904381
5279.0,12928.2185283,4524.8764849,6464.10926415,1939.23277924
5280.0,12502.1907742,4375.76677097,6251.0953871,1875.32861613
5281.0,12435.3959863,4352.3885952,6217.69799315,1865.30939794
5282.0,12152.6299165,4253.42047077,6076.31495825,1822.89448748
5283.0,10418.0055264,3646.30193424,5209.0027632,1562.70082896
5284.0,9068.59229957,3174.00730485,4534.29614979,1360.28884494
5285.0,8944.90966328,3130.71838215,4472.45483164,1341.73644949
5286.0,8926.41670948,3124.24584832,4463.20835474,1338.96250642
5287.0,7179.66916084,2512.88420629,3589.83458042,1076.95037413
5288.0,8478.52030369,2967.48210629,4239.26015185,1271.77804555
5289.0,9562.32481228,3346.8136843,4781.16240614,1434.34872184
5290.0,9190.07339373,3216.52568781,4595.03669686,1378.51100906
5291.0,9476.84627025,3316.89619459,4738.42313513,1421.52694054
5292.0,11284.752659,3949.66343065,5642.3763295,1692.71289885
5293.0,12255.1777484,4289.31221194,6127.5888742,1838.27666226
5294.0,12848.4346419,4496.95212466,6424.21732095,1927.26519628
5295.0,12577.7917306,4402.22710571,6288.8958653,1886.66875959
5296.0,11739.7673843,4108.9185845,5869.88369215,1760.96510764
5297.0,11825.1285107,4138.79497874,5912.56425535,1773.7692766
5298.0,11657.2095548,4080.02334418,5828.6047774,1748.58143322
5299.0,11507.416629,4027.59582015,5753.7083145,1726.11249435
5300.0,11521.8734222,4032.65569777,5760.9367111,1728.28101333
5301.0,11613.7511133,4064.81288965,5806.87555665,1742.06266699
5302.0,11568.4140226,4048.94490791,5784.2070113,1735.26210339
5303.0,11305.3150624,3956.86027184,5652.6575312,1695.79725936
5304.0,11182.8065819,3913.98230366,5591.40329095,1677.42098728
5305.0,11721.7734467,4102.62070635,5860.88672335,1758.26601701
5306.0,11324.6152483,3963.6153369,5662.30762415,1698.69228724
5307.0,10817.5120364,3786.12921274,5408.7560182,1622.62680546
5308.0,10674.1329366,3735.94652781,5337.0664683,1601.11994049
5309.0,8397.03389137,2938.96186198,4198.51694568,1259.55508371
5310.0,8019.82166457,2806.9375826,4009.91083229,1202.97324969
5311.0,7515.55110358,2630.44288625,3757.77555179,1127.33266554
5312.0,7543.24650344,2640.1362762,3771.62325172,1131.48697552
5313.0,7608.25070376,2662.88774632,3804.12535188,1141.23760556
5314.0,9297.72880339,3254.20508119,4648.8644017,1394.65932051
