hour_ending,total,pumping,other
7375.0,818.606970887,654.88557671,163.721394177
7376.0,706.846605817,565.477284654,141.369321163
7377.0,767.003130446,613.602504357,153.400626089
7378.0,779.445202338,623.55616187,155.889040468
7379.0,837.577657855,670.062126284,167.515531571
7380.0,865.805484438,692.64438755,173.161096888
7381.0,825.343946018,660.275156814,165.068789204
7382.0,884.131247424,707.304997939,176.826249485
7383.0,622.222657515,497.778126012,124.444531503
7384.0,531.506658062,425.20532645,106.301331612
7385.0,512.575658724,410.060526979,102.515131745
7386.0,509.718149389,407.774519511,101.943629878
7387.0,465.38706708,372.309653664,93.077413416
7388.0,428.735541106,342.988432885,85.7471082212
7389.0,389.91111741,311.928893928,77.982223482
7390.0,401.48006145,321.18404916,80.29601229
7391.0,722.017202248,577.613761798,144.40344045
7392.0,757.755912739,606.204730191,151.551182548
7393.0,756.396611424,605.117289139,151.279322285
7394.0,750.542686052,600.434148842,150.10853721
7395.0,750.800655645,600.640524516,150.160131129
7396.0,722.235484211,577.788387369,144.447096842
7397.0,720.915870525,576.73269642,144.183174105
7398.0,759.264042666,607.411234133,151.852808533
7399.0,788.613044785,630.890435828,157.722608957
7400.0,609.740897993,487.792718394,121.948179599
7401.0,765.554531964,612.443625571,153.110906393
7402.0,757.656693665,606.125354932,151.531338733
7403.0,854.861620564,683.889296451,170.972324113
7404.0,859.465385602,687.572308482,171.89307712
7405.0,769.910249317,615.928199454,153.982049863
7406.0,816.434073164,653.147258531,163.286814633
7407.0,739.946088938,591.95687115,147.989217788
7408.0,664.470139268,531.576111414,132.894027854
7409.0,614.711773605,491.769418884,122.942354721
7410.0,607.657297436,486.125837949,121.531459487
7411.0,569.10076524,455.280612192,113.820153048
7412.0,508.239785185,406.591828148,101.647957037
7413.0,461.428226023,369.142580818,92.2856452046
7414.0,440.889877684,352.711902147,88.1779755368
7415.0,470.109895007,376.087916006,94.0219790014
7416.0,619.464367255,495.571493804,123.892873451
7417.0,619.801712107,495.841369686,123.960342421
7418.0,618.670614662,494.93649173,123.734122932
7419.0,514.778322169,411.822657735,102.955664434
7420.0,730.173010139,584.138408111,146.034602028
7421.0,820.789790517,656.631832414,164.157958103
7422.0,828.499112575,662.79929006,165.699822515
7423.0,821.305729702,657.044583762,164.26114594
7424.0,667.158976176,533.727180941,133.431795235
7425.0,742.357112439,593.885689951,148.471422488
7426.0,756.634737202,605.307789762,151.32694744
7427.0,881.819442998,705.455554398,176.3638886
7428.0,909.432111321,727.545689057,181.886422264
7429.0,835.494057299,668.395245839,167.09881146
7430.0,912.319386377,729.855509102,182.463877275
7431.0,922.677857713,738.14228617,184.535571543
7432.0,827.13981126,661.711849008,165.427962252
7433.0,777.054022652,621.643218122,155.41080453
7434.0,653.050023839,522.440019071,130.610004768
7435.0,653.179008635,522.543206908,130.635801727
7436.0,596.088353396,476.870682717,119.217670679
7437.0,542.252083788,433.80166703,108.450416758
7438.0,484.208925437,387.36714035,96.8417850874
7439.0,517.68544104,414.148352832,103.537088208
7440.0,593.141546895,474.513237516,118.628309379
7441.0,551.062737568,440.850190054,110.212547514
7442.0,536.487455582,429.189964466,107.297491116
7443.0,545.0798274,436.06386192,109.01596548
7444.0,721.650091673,577.320073338,144.330018335
7445.0,757.745990832,606.196792666,151.549198166
7446.0,851.111139563,680.88891165,170.222227913
7447.0,791.351491231,633.081192985,158.270298246
7448.0,674.322593326,539.458074661,134.864518665
7449.0,824.064019962,659.25121597,164.812803992
7450.0,816.60274559,653.282196472,163.320549118
7451.0,907.408042209,725.926433767,181.481608442
7452.0,1042.9016098,834.32128784,208.58032196
7453.0,941.797373293,753.437898634,188.359474659
7454.0,1027.01663604,821.613308832,205.403327208
7455.0,901.048099559,720.838479647,180.209619912
7456.0,868.008147883,694.406518306,173.601629577
7457.0,750.592295589,600.473836471,150.118459118
7458.0,702.441278927,561.953023142,140.488255785
7459.0,626.270795738,501.01663659,125.254159148
7460.0,591.315915932,473.052732746,118.263183186
7461.0,496.819669756,397.455735805,99.3639339512
7462.0,555.22993868,444.183950944,111.045987736
7463.0,902.903496245,722.322796996,180.580699249
7464.0,882.454445072,705.963556058,176.490889014
7465.0,866.648846567,693.319077254,173.329769313
7466.0,868.692759494,694.954207595,173.738551899
7467.0,856.588032453,685.270425962,171.317606491
7468.0,819.66861498,655.734891984,163.933722996
7469.0,842.111969542,673.689575634,168.422393908
7470.0,819.718224517,655.774579614,163.943644903
7471.0,884.667030425,707.73362434,176.933406085
7472.0,920.653788602,736.523030882,184.13075772
7473.0,918.768626194,735.014900955,183.753725239
7474.0,950.230994592,760.184795674,190.046198918
7475.0,971.324969746,777.059975797,194.264993949
7476.0,840.316104301,672.252883441,168.06322086
7477.0,737.287017752,589.829614202,147.45740355
7478.0,737.029048159,589.623238527,147.405809632
7479.0,781.330364746,625.064291797,156.266072949
7480.0,686.218960311,548.975168249,137.243792062
7481.0,622.034141274,497.627313019,124.406828255
7482.0,601.098916638,480.87913331,120.219783328
7483.0,594.27264434,475.418115472,118.854528868
7484.0,566.044817758,452.835854206,113.208963552
7485.0,493.654581292,394.923665034,98.7309162584
7486.0,528.282038154,422.625630523,105.656407631
7487.0,873.276680718,698.621344574,174.655336144
7488.0,867.343380086,693.874704069,173.468676017
7489.0,853.988492712,683.19079417,170.797698542
7490.0,845.931903895,676.745523116,169.186380779
7491.0,835.553588744,668.442870995,167.110717749
7492.0,814.400082145,651.520065716,162.880016429
7493.0,805.341380679,644.273104543,161.068276136
7494.0,803.515749716,642.812599773,160.703149943
7495.0,804.37895566,643.503164528,160.875791132
7496.0,710.061303818,568.049043054,142.012260764
7497.0,691.963744702,553.570995762,138.39274894
7498.0,669.629531121,535.703624897,133.925906224
7499.0,595.215225544,476.172180435,119.043045109
7500.0,526.367110024,421.093688019,105.273422005
7501.0,541.240049232,432.992039386,108.248009846
7502.0,544.583732029,435.666985623,108.916746406
7503.0,537.678084472,430.142467578,107.535616894
7504.0,511.414795557,409.131836446,102.282959111
7505.0,490.896291032,392.717032826,98.1792582064
7506.0,508.319160445,406.655328356,101.663832089
7507.0,517.020673243,413.616538594,103.404134649
7508.0,492.315123792,393.852099034,98.4630247584
7509.0,459.91017419,367.928139352,91.982034838
7510.0,472.233183193,377.786546554,94.4466366386
7511.0,901.454897763,721.16391821,180.290979553
7512.0,871.877691773,697.502153418,174.375538355
7513.0,868.82174429,695.057395432,173.764348858
7514.0,861.499376622,689.199501298,172.299875324
7515.0,861.638283325,689.31062666,172.327656665
7516.0,831.019277057,664.815421646,166.203855411
7517.0,831.465762891,665.172610313,166.293152578
7518.0,964.726901318,771.781521054,192.945380264
7519.0,984.858451454,787.886761163,196.971690291
7520.0,654.57799758,523.662398064,130.915599516
7521.0,850.922623322,680.738098658,170.184524664
7522.0,963.258459022,770.606767218,192.651691804
7523.0,1194.36944833,955.495558664,238.873889666
7524.0,1024.98264502,819.986116016,204.996529004
7525.0,837.389141615,669.911313292,167.477828323
7526.0,898.924811373,719.139849098,179.784962275
7527.0,876.3326282,701.06610256,175.26652564
7528.0,867.998225975,694.39858078,173.599645195
7529.0,893.953935761,715.163148609,178.790787152
