hour_ending,hvac,lighting,total,other
8209.0,697.265922327,2038.48428113,5512.92345734,2777.17325388
8210.0,673.076703067,1896.23654176,5299.67920659,2730.36596176
8211.0,684.360187292,1927.01551327,5298.13067511,2686.75497455
8212.0,670.537046329,2094.5126879,5515.79007743,2750.7403432
8213.0,692.997285455,2564.29922481,6112.92318522,2855.62667495
8214.0,681.312556876,2968.66749746,6590.95741239,2940.97735805
8215.0,776.365256586,4158.5700243,7259.95752088,2325.02224
8216.0,887.019313657,5049.28380656,7510.51570263,1574.21258241
8217.0,969.611368386,5517.07615573,8050.10043792,1563.4129138
8218.0,1015.42877013,5603.28570025,8255.81357232,1637.09910194
8219.0,1080.4570486,5904.37777753,8674.84668126,1690.01185513
8220.0,1103.44857305,5980.53178971,8838.67326074,1754.69289798
8221.0,1086.43007935,5824.43737794,8633.78273575,1722.91527847
8222.0,1103.86154349,5866.86845847,8678.05447924,1707.32447728
8223.0,1112.08472805,5890.27266789,8737.18423467,1734.82683873
8224.0,1094.12679662,5781.27099448,8527.0002058,1651.60241471
8225.0,1133.39114141,5873.2966159,8560.40338757,1553.71563026
8226.0,1116.62240423,5530.04692846,8570.18458861,1923.51525592
8227.0,1112.67368802,5071.81355296,8403.65470887,2219.16746788
8228.0,1147.11722194,4642.80814169,8226.6182815,2436.69291786
8229.0,1192.85616981,4612.35909796,8161.22111392,2356.00584616
8230.0,1268.98295052,3933.93826493,7555.5433465,2352.62213105
8231.0,1258.60853783,3200.01593798,7037.56569059,2578.94121478
8232.0,872.471596854,2410.40445112,6160.02815456,2877.15210658
8233.0,687.165727416,2056.29103468,5561.08044842,2817.62368632
8234.0,670.275304572,1888.11910888,5276.9922742,2718.59786074
8235.0,657.103589486,1901.69464424,5228.51355371,2669.71531998
8236.0,663.547419121,2020.2275856,5320.16412944,2636.38912471
8237.0,678.43741936,2510.00241469,5983.48666027,2795.04682622
8238.0,638.176357906,2934.80206598,6515.76735888,2942.788935
8239.0,749.352020748,4204.20098581,7339.62061499,2386.06760843
8240.0,901.738955083,5128.66128907,7628.59484575,1598.1946016
8241.0,969.827051194,5529.83384148,8076.48113555,1576.82024288
8242.0,1036.59949585,5739.9085101,8461.32961452,1684.82160857
8243.0,1079.63526925,5895.92416999,8670.41003587,1694.85059663
8244.0,1091.7925992,5905.10436439,8748.83326477,1751.93630117
8245.0,1077.11124827,5798.70201659,8609.35607133,1733.54280646
8246.0,1070.97503923,5752.08724027,8510.67132895,1687.60904945
8247.0,1056.2861914,5687.77016139,8423.37901958,1679.32266679
8248.0,1057.36848844,5689.76567951,8379.89267235,1632.75850439
8249.0,1099.48956848,5750.63185949,8381.63461354,1531.51318557
8250.0,1105.02796019,5508.62473049,8537.0536464,1923.40095572
8251.0,1103.81536387,5098.27199246,8447.51946934,2245.43211301
8252.0,1158.56217877,4703.01739412,8333.30580449,2471.7262316
8253.0,1195.54819376,4719.24299811,8350.34410373,2435.55291186
8254.0,1307.03567501,4052.79014275,7783.81091304,2423.98509528
