hour_ending,cooling,poolpump,plugload,other,total
4837.0,579.627901788,7532.639016,4480.07337465,10453.5045409,23045.8448333
4838.0,697.021866832,7242.301752,4653.21487287,10857.50137,23450.0398617
4839.0,704.5260433,6548.718288,5055.38482386,11795.8979223,24104.5270775
4840.0,717.996141823,5468.018472,5698.64134116,13296.829796,25181.485751
4841.0,612.468627522,4548.617136,6707.97197151,15651.9346002,27520.9923352
4842.0,608.935224988,3177.580056,7359.07969551,17171.1859562,28316.7809327
4843.0,583.555045254,2419.4772,8460.34105566,19740.7957965,31204.1690975
4844.0,382.920809134,2209.789176,9126.31324425,21294.7309033,33013.7541326
4845.0,271.723627634,1774.28328,11415.9153329,26637.1357768,40099.0580173
4846.0,251.411037391,1274.257992,11217.38256,26173.8926401,38916.9442295
4847.0,199.477737093,887.14164,10010.6470342,23358.176413,34455.4428243
4848.0,191.712749814,983.920728,8581.59837099,20023.7295323,29780.9613811
4849.0,180.640181198,1048.44012,7526.7937674,17562.5187906,26318.3928592
4850.0,171.949608721,806.4924,6931.24929366,16172.9150185,24082.6063209
4851.0,131.359672063,1016.180424,6579.70371936,15352.6420118,23079.8858273
4852.0,170.759084607,1161.349056,6410.78758545,14958.504366,22701.4000921
4853.0,167.16381035,1145.219208,6425.2691556,14992.2946964,22729.9468703
4854.0,167.098875571,1532.33556,6580.9309971,15355.5056599,23635.8710926
4855.0,131.376024143,2822.7234,5845.66249908,13639.8791645,22439.6410877
4856.0,131.440958922,3693.735192,5357.17336743,12500.0711907,21682.420709
4857.0,177.905823207,4516.35744,5254.63888014,12260.8240537,22209.726197
4858.0,191.524338266,6209.99148,4750.47420555,11084.439813,22236.4298368
4859.0,312.089572453,7484.249472,4403.63765691,10275.1545328,22475.1312342
4860.0,339.154763256,8097.183696,4328.23598982,10099.2173096,22863.7917587
4861.0,502.085552456,7532.639016,4575.6940893,10676.6195417,23287.0381995
4862.0,521.5877764,7242.301752,4590.46239315,10711.0789174,23065.4308389
4863.0,532.502733497,6548.718288,4867.50327666,11357.5076455,23306.2319437
4864.0,620.187212878,5468.018472,5696.54652435,13291.9418901,25076.6940994
4865.0,610.007807764,4548.617136,6396.96388968,14926.2490759,26481.8379094
4866.0,418.29102123,3177.580056,7660.60078944,17874.7351754,29131.207042
4867.0,354.85525537,2419.4772,8516.91128388,19872.7929957,31164.036735
4868.0,283.982351334,2209.789176,9105.1418847,21245.3310643,32844.2444763
4869.0,211.784410444,1774.28328,11618.9591512,27110.9046861,40715.9315277
4870.0,199.096111172,1274.257992,11436.9107551,26686.1250951,39596.3899534
4871.0,152.317823437,887.14164,10236.4022352,23884.9385488,35160.8002474
4872.0,144.191724616,983.920728,8837.47230558,20620.768713,30586.3534712
