hour_ending,total,pumping,other
6692.0,59.7625637172,47.8100509738,11.9525127434
6693.0,59.8393670119,47.8714936095,11.9678734024
6694.0,51.4486070619,41.1588856495,10.2897214124
6695.0,50.1237502277,40.0990001822,10.0247500455
6696.0,41.5121808053,33.2097446442,8.30243616106
6697.0,36.5007658237,29.200612659,7.30015316474
6698.0,37.3456020658,29.8764816526,7.46912041316
6699.0,35.1375073422,28.1100058738,7.02750146844
6700.0,31.8253652566,25.4602922053,6.36507305132
6701.0,35.5407246395,28.4325797116,7.1081449279
6702.0,34.2158678053,27.3726942442,6.84317356106
6703.0,39.1408790803,31.3127032642,7.82817581606
6704.0,38.7472621948,30.9978097558,7.74945243896
6705.0,34.8494949869,27.8795959895,6.96989899738
6706.0,40.561740033,32.4493920264,8.1123480066
6707.0,39.5536967895,31.6429574316,7.9107393579
6708.0,38.5648543698,30.8518834958,7.71297087396
6709.0,39.9377132632,31.9501706106,7.98754265264
6710.0,41.9922013974,33.5937611179,8.39844027948
6711.0,45.304343483,36.2434747864,9.0608686966
6712.0,52.3414453632,41.8731562906,10.4682890726
6713.0,49.2021106909,39.3616885527,9.84042213818
6714.0,60.0889777198,48.0711821758,12.017795544
6715.0,62.8538963304,50.2831170643,12.5707792661
6716.0,62.7290909764,50.1832727811,12.5458181953
6717.0,54.0407182593,43.2325746074,10.8081436519
6718.0,49.1733094553,39.3386475642,9.83466189106
6719.0,46.3315875501,37.0652700401,9.26631751002
6720.0,43.1922528777,34.5538023022,8.63845057554
6721.0,40.3313301487,32.265064119,8.06626602974
6722.0,38.2288399553,30.5830719642,7.64576799106
6723.0,35.9247411132,28.7397928906,7.18494822264
6724.0,30.9229265435,24.7383412348,6.1845853087
6725.0,32.4973940856,25.9979152685,6.49947881712
6726.0,35.3007143435,28.2405714748,7.0601428687
6727.0,39.2272827869,31.3818262295,7.84545655738
6728.0,43.7298759409,34.9839007527,8.74597518818
6729.0,39.9665144987,31.973211599,7.99330289974
6730.0,36.5871695303,29.2697356242,7.31743390606
6731.0,42.3282158119,33.8625726495,8.46564316238
6732.0,46.6099994935,37.2879995948,9.3219998987
6733.0,51.6694165343,41.3355332274,10.3338833069
6734.0,52.2166400093,41.7733120074,10.4433280019
6735.0,52.1398367146,41.7118693717,10.4279673429
6736.0,50.4789654659,40.3831723727,10.0957930932
6737.0,55.4231775646,44.3385420517,11.0846355129
6738.0,62.3738757383,49.8991005906,12.4747751477
6739.0,64.0635482225,51.250838578,12.8127096445
6740.0,58.8889262396,47.1111409917,11.7777852479
6741.0,50.2581559935,40.2065247948,10.0516311987
6742.0,48.3380736251,38.6704589001,9.66761472502
6743.0,47.5988419132,38.0790735306,9.51976838264
6744.0,42.5298244606,34.0238595685,8.50596489212
6745.0,36.3375588224,29.0700470579,7.26751176448
6746.0,35.1087061066,28.0869648853,7.02174122132
6747.0,32.7086031461,26.1668825169,6.54172062922
6748.0,35.1951098132,28.1560878506,7.03902196264
6749.0,34.6382859264,27.7106287411,6.92765718528
6750.0,33.0638183843,26.4510547074,6.61276367686
6751.0,44.939527833,35.9516222664,8.9879055666
6752.0,48.2996719777,38.6397375822,9.65993439554
6753.0,41.9826009856,33.5860807885,8.39652019712
6754.0,41.8001931606,33.4401545285,8.36003863212
6755.0,39.3232869053,31.4586295242,7.86465738106
6756.0,42.5202240488,34.016179239,8.50404480976
6757.0,51.4102054146,41.1281643317,10.2820410829
6758.0,51.3526029435,41.0820823548,10.2705205887
6759.0,57.8424813488,46.273985079,11.5684962698
6760.0,54.0791199067,43.2632959254,10.8158239813
6761.0,50.7189757619,40.5751806095,10.1437951524
6762.0,61.5482403198,49.2385922558,12.309648064
6763.0,66.7708643619,53.4166914895,13.3541728724
6764.0,60.9722156093,48.7777724874,12.1944431219
6765.0,51.4870087093,41.1896069674,10.2974017419
6766.0,48.040460858,38.4323686864,9.6080921716
6767.0,46.6003990817,37.2803192654,9.32007981634
6768.0,46.091577254,36.8732618032,9.2183154508
6769.0,41.0129593895,32.8103675116,8.2025918779
6770.0,39.4192910237,31.535432819,7.88385820474
6771.0,41.3009717448,33.0407773958,8.26019434896
6772.0,40.0337173816,32.0269739053,8.00674347632
6773.0,44.2290973566,35.3832778853,8.84581947132
6774.0,41.8097935724,33.4478348579,8.36195871448
6775.0,46.8692106132,37.4953684906,9.37384212264
6776.0,48.1652662119,38.5322129695,9.63305324238
6777.0,50.5461683488,40.436934679,10.1092336698
6778.0,52.965472133,42.3723777064,10.5930944266
6779.0,50.7285761738,40.582860939,10.1457152348
6780.0,42.8370376395,34.2696301116,8.5674075279
6781.0,43.7106751172,34.9685400938,8.74213502344
6782.0,47.6276431488,38.102114519,9.52552862976
6783.0,53.9927162001,43.1941729601,10.79854324
6784.0,48.952499983,39.1619999864,9.7904999966
6785.0,54.7415483238,43.793238659,10.9483096648
6786.0,55.9319993922,44.7455995138,11.1863998784
6787.0,45.9283702527,36.7426962022,9.18567405054
6788.0,55.576784154,44.4614273232,11.1153568308
6789.0,50.8725823514,40.6980658811,10.1745164703
6790.0,47.2820283224,37.8256226579,9.45640566448
6791.0,45.0067307159,36.0053845727,9.00134614318
6792.0,47.8100509738,38.248040779,9.56201019476
6793.0,44.4787080645,35.5829664516,8.8957416129
6794.0,41.7809923369,33.4247938695,8.35619846738
6795.0,44.6419150659,35.7135320527,8.92838301318
6796.0,43.0002446409,34.4001957127,8.60004892818
6797.0,39.8993116159,31.9194492927,7.97986232318
6798.0,50.0757481685,40.0605985348,10.0151496337
6799.0,50.469365054,40.3754920432,10.0938730108
6800.0,50.594170408,40.4753363264,10.1188340816
6801.0,51.7750210646,41.4200168517,10.3550042129
6802.0,43.1826524659,34.5461219727,8.63653049318
6803.0,43.2594557606,34.6075646085,8.65189115212
6804.0,46.456392904,37.1651143232,9.2912785808
6805.0,51.8422239474,41.4737791579,10.3684447895
6806.0,49.6149284001,39.6919427201,9.92298568002
6807.0,49.8165370488,39.853229639,9.96330740976
6808.0,53.7719067277,43.0175253822,10.7543813455
6809.0,61.9898592646,49.5918874117,12.3979718529
6810.0,61.7498489685,49.3998791748,12.3499697937
6811.0,51.9574288896,41.5659431117,10.3914857779
6812.0,53.4934947843,42.7947958274,10.6986989569
6813.0,50.2101539343,40.1681231474,10.0420307869
6814.0,42.3570170474,33.8856136379,8.47140340948
6815.0,44.574712183,35.6597697464,8.9149424366
6816.0,42.261012929,33.8088103432,8.4522025858
6817.0,38.8720675487,31.097654039,7.77441350974
6818.0,40.801750329,32.6414002632,8.1603500658
6819.0,36.5103662356,29.2082929885,7.30207324712
6820.0,36.3183579987,29.054686399,7.26367159974
6821.0,39.1312786685,31.3050229348,7.8262557337
6822.0,44.0754907672,35.2603926138,8.81509815344
6823.0,44.4691076527,35.5752861222,8.89382153054
6824.0,52.7542630725,42.203410458,10.5508526145
6825.0,55.2215689159,44.1772551327,11.0443137832
6826.0,46.2931859027,37.0345487222,9.25863718054
6827.0,53.5510972553,42.8408778042,10.7102194511
6828.0,51.506209533,41.2049676264,10.3012419066
6829.0,50.286957229,40.2295657832,10.0573914458
6830.0,49.010102454,39.2080819632,9.8020204908
6831.0,49.682131283,39.7457050264,9.9364262566
6832.0,51.2950004724,41.0360003779,10.2590000945
6833.0,48.8948975119,39.1159180095,9.77897950238
6834.0,55.6247862132,44.4998289706,11.1249572426
6835.0,55.7975936264,44.6380749011,11.1595187253
6836.0,56.1720096882,44.9376077506,11.2344019376
6837.0,48.8468954527,39.0775163622,9.76937909054
6838.0,44.5363105356,35.6290484285,8.90726210712
6839.0,41.2433692737,32.994695419,8.24867385474
6840.0,40.8113507409,32.6490805927,8.16227014818
6841.0,38.5072518987,30.805801519,7.70145037974
6842.0,37.3744033014,29.8995226411,7.47488066028
6843.0,36.0303456435,28.8242765148,7.2060691287
6844.0,37.2495979474,29.7996783579,7.44991958948
6845.0,41.3873754514,33.1099003611,8.27747509028
6846.0,42.5106236369,34.0084989095,8.50212472738
6847.0,43.115449583,34.4923596664,8.6230899166
6848.0,49.010102454,39.2080819632,9.8020204908
6849.0,46.4275916685,37.1420733348,9.2855183337
6850.0,39.4864939066,31.5891951253,7.89729878132
6851.0,42.808236404,34.2465891232,8.5616472808
6852.0,40.9073548593,32.7258838874,8.18147097186
6853.0,49.3653176922,39.4922541538,9.87306353844
6854.0,52.1494371264,41.7195497011,10.4298874253
6855.0,48.8564958646,39.0851966917,9.77129917292
6856.0,56.3544175132,45.0835340106,11.2708835026
6857.0,58.0920920567,46.4736736454,11.6184184113
6858.0,54.9239561488,43.939164919,10.9847912298
6859.0,51.4870087093,41.1896069674,10.2974017419
6860.0,54.3863330856,43.5090664685,10.8772666171
6861.0,54.7703495593,43.8162796474,10.9540699119
6862.0,49.9125411672,39.9300329338,9.98250823344
6863.0,48.5492826856,38.8394261485,9.70985653712
6864.0,47.9060550922,38.3248440738,9.58121101844
6865.0,47.1956246159,37.7564996927,9.43912492318
6866.0,42.3762178711,33.9009742969,8.47524357422
6867.0,40.2161252066,32.1729001653,8.04322504132
6868.0,45.2755422474,36.2204337979,9.05510844948
6869.0,45.726761604,36.5814092832,9.1453523208
6870.0,47.4644361474,37.9715489179,9.49288722948
6871.0,52.3030437159,41.8424349727,10.4606087432
6872.0,56.7096327514,45.3677062011,11.3419265503
6873.0,51.2854000606,41.0283200485,10.2570800121
6874.0,46.0627760185,36.8502208148,9.2125552037
6875.0,39.0160737264,31.2128589811,7.80321474528
6876.0,42.625828579,34.1006628632,8.5251657158
6877.0,42.2514125172,33.8011300138,8.45028250344
6878.0,44.1906957093,35.3525565674,8.83813914186
6879.0,49.8549386961,39.8839509569,9.97098773922
6880.0,49.0773053369,39.2618442695,9.81546106738
6881.0,45.4291488369,36.3433190695,9.08582976738
6882.0,46.7156040238,37.372483219,9.34312080476
6883.0,52.9942733685,42.3954186948,10.5988546737
