hour_ending,total,pumping,process,other
7622.0,911.541463621,455.770731811,227.885365905,227.885365905
7623.0,913.647478793,456.823739397,228.411869698,228.411869698
7624.0,761.070310608,380.535155304,190.267577652,190.267577652
7625.0,673.05340064,336.52670032,168.26335016,168.26335016
7626.0,349.380654994,174.690327497,87.3451637485,87.3451637485
7627.0,355.045109595,177.522554797,88.7612773987,88.7612773987
7628.0,364.050139988,182.025069994,91.012534997,91.012534997
7629.0,912.485539388,456.242769694,228.121384847,228.121384847
7630.0,1051.40991956,525.70495978,262.85247989,262.85247989
7631.0,1604.34783415,802.173917075,401.086958537,401.086958537
7632.0,1859.64770791,929.823853955,464.911926978,464.911926978
7633.0,1806.74315435,903.371577175,451.685788587,451.685788587
7634.0,1641.16678907,820.583394535,410.291697268,410.291697268
7635.0,1340.26079365,670.130396825,335.065198413,335.065198413
7636.0,1122.9055036,561.4527518,280.7263759,280.7263759
7637.0,961.1780626,480.5890313,240.29451565,240.29451565
7638.0,1013.24747221,506.623736105,253.311868052,253.311868052
7639.0,960.851267142,480.425633571,240.212816785,240.212816785
7640.0,1040.58935884,520.29467942,260.14733971,260.14733971
7641.0,1089.64498812,544.82249406,272.41124703,272.41124703
7642.0,1300.93640689,650.468203445,325.234101722,325.234101722
7643.0,1101.01020793,550.505103965,275.252551982,275.252551982
7644.0,1096.50769274,548.25384637,274.126923185,274.126923185
7645.0,1096.65293516,548.32646758,274.16323379,274.16323379
7646.0,899.631584714,449.815792357,224.907896178,224.907896178
7647.0,840.626849278,420.313424639,210.15671232,210.15671232
7648.0,885.216273965,442.608136983,221.304068491,221.304068491
7649.0,1092.94925331,546.474626655,273.237313327,273.237313327
7650.0,1097.01604122,548.50802061,274.254010305,274.254010305
7651.0,1117.241049,558.6205245,279.31026225,279.31026225
7652.0,1288.73604313,644.368021565,322.184010783,322.184010783
7653.0,1241.96798206,620.98399103,310.491995515,310.491995515
7654.0,1392.14865022,696.07432511,348.037162555,348.037162555
7655.0,1650.17181946,825.08590973,412.542954865,412.542954865
7656.0,2237.35063591,1118.67531796,559.337658978,559.337658978
7657.0,1765.42168424,882.71084212,441.35542106,441.35542106
7658.0,1447.12290835,723.561454175,361.780727087,361.780727087
7659.0,757.039833295,378.519916647,189.259958324,189.259958324
7660.0,691.42656749,345.713283745,172.856641873,172.856641873
7661.0,682.893574981,341.446787491,170.723393745,170.723393745
7662.0,370.404496112,185.202248056,92.601124028,92.601124028
7663.0,479.989906294,239.994953147,119.997476574,119.997476574
7664.0,905.586524168,452.793262084,226.396631042,226.396631042
7665.0,929.624145619,464.812072809,232.406036405,232.406036405
7666.0,690.155696265,345.077848132,172.538924066,172.538924066
7667.0,688.594340189,344.297170094,172.148585047,172.148585047
7668.0,1149.63010993,574.815054965,287.407527482,287.407527482
7669.0,1565.78597013,782.892985065,391.446492532,391.446492532
7670.0,1079.84112439,539.920562195,269.960281098,269.960281098
7671.0,1233.25343652,616.62671826,308.31335913,308.31335913
7672.0,1196.07137554,598.03568777,299.017843885,299.017843885
7673.0,1313.24570247,656.622851235,328.311425617,328.311425617
7674.0,1509.79501503,754.897507515,377.448753758,377.448753758
7675.0,1682.92398645,841.461993225,420.730996613,420.730996613
7676.0,1590.00514462,795.00257231,397.501286155,397.501286155
7677.0,1648.17473611,824.087368055,412.043684027,412.043684027
7678.0,1785.93717687,892.968588435,446.484294218,446.484294218
7679.0,1754.09277504,877.04638752,438.52319376,438.52319376
7680.0,1955.97974675,977.989873375,488.994936688,488.994936688
7681.0,1601.73347049,800.866735245,400.433367622,400.433367622
7682.0,1451.55280233,725.776401165,362.888200583,362.888200583
7683.0,1167.71279193,583.856395965,291.928197983,291.928197983
7684.0,1232.27305015,616.136525075,308.068262538,308.068262538
7685.0,1405.47464278,702.73732139,351.368660695,351.368660695
7686.0,1474.71896923,737.359484615,368.679742308,368.679742308
7687.0,1087.64790477,543.823952385,271.911976192,271.911976192
7688.0,495.712398875,247.856199438,123.928099719,123.928099719
7689.0,50.6896065653,25.3448032826,12.6724016413,12.6724016413
7690.0,132.896819505,66.4484097525,33.2242048762,33.2242048762
7691.0,458.748201537,229.374100768,114.687050384,114.687050384
7692.0,706.931196432,353.465598216,176.732799108,176.732799108
7693.0,654.571301971,327.285650986,163.642825493,163.642825493
7694.0,269.24314662,134.62157331,67.310786655,67.310786655
7695.0,382.023890167,191.011945083,95.5059725417,95.5059725417
7696.0,406.206754044,203.103377022,101.551688511,101.551688511
7697.0,494.187353405,247.093676703,123.546838351,123.546838351
7698.0,641.136377595,320.568188797,160.284094399,160.284094399
7699.0,524.506709767,262.253354883,131.126677442,131.126677442
7700.0,254.31948738,127.15974369,63.579871845,63.579871845
7701.0,123.819167899,61.9095839495,30.9547919747,30.9547919747
7702.0,105.84541772,52.92270886,26.46135443,26.46135443
7703.0,1054.85942717,527.429713585,263.714856792,263.714856792
7704.0,1688.80630469,844.403152345,422.201576172,422.201576172
7705.0,2306.19554569,1153.09777285,576.548886423,576.548886423
7706.0,1880.78048085,940.390240425,470.195120213,470.195120213
7707.0,1694.94279718,847.47139859,423.735699295,423.735699295
7708.0,1635.21184961,817.605924805,408.802962402,408.802962402
7709.0,2014.80292915,1007.40146457,503.700732287,503.700732287
7710.0,1480.92808293,740.464041465,370.232020733,370.232020733
7711.0,700.976256979,350.488128489,175.244064245,175.244064245
7712.0,298.400563577,149.200281789,74.6001408943,74.6001408943
7713.0,541.42745236,270.71372618,135.35686309,135.35686309
7714.0,544.259679661,272.12983983,136.064919915,136.064919915
7715.0,522.001277924,261.000638962,130.500319481,130.500319481
7716.0,468.987792548,234.493896274,117.246948137,117.246948137
7717.0,307.659768215,153.829884107,76.9149420537,76.9149420537
7718.0,547.41870242,273.70935121,136.854675605,136.854675605
7719.0,981.87510826,490.93755413,245.468777065,245.468777065
7720.0,792.660538195,396.330269097,198.165134549,198.165134549
7721.0,421.130413284,210.565206642,105.282603321,105.282603321
7722.0,505.516262609,252.758131305,126.379065652,126.379065652
7723.0,529.880679518,264.940339759,132.47016988,132.47016988
7724.0,507.949073239,253.97453662,126.98726831,126.98726831
7725.0,490.156876092,245.078438046,122.539219023,122.539219023
7726.0,425.487686054,212.743843027,106.371921513,106.371921513
7727.0,1597.04940226,798.52470113,399.262350565,399.262350565
7728.0,2637.85662475,1318.92831237,659.464156187,659.464156187
7729.0,2863.49073305,1431.74536653,715.872683263,715.872683263
7730.0,2766.39617148,1383.19808574,691.59904287,691.59904287
7731.0,2351.62011432,1175.81005716,587.90502858,587.90502858
7732.0,2215.49165085,1107.74582543,553.872912713,553.872912713
7733.0,1157.58213274,578.79106637,289.395533185,289.395533185
7734.0,1800.49773005,900.248865025,450.124432512,450.124432512
7735.0,1177.48034506,588.74017253,294.370086265,294.370086265
7736.0,243.135820602,121.567910301,60.7839551505,60.7839551505
7737.0,379.373215898,189.686607949,94.8433039745,94.8433039745
7738.0,614.375460662,307.187730331,153.593865166,153.593865166
7739.0,627.08417291,313.542086455,156.771043228,156.771043228
7740.0,387.797276588,193.898638294,96.949319147,96.949319147
7741.0,557.876157069,278.938078534,139.469039267,139.469039267
7742.0,995.854691733,497.927345866,248.963672933,248.963672933
7743.0,888.593160362,444.296580181,222.14829009,222.14829009
7744.0,890.553933109,445.276966554,222.638483277,222.638483277
7745.0,784.853757814,392.426878907,196.213439453,196.213439453
7746.0,605.116256025,302.558128012,151.279064006,151.279064006
7747.0,537.687459899,268.84372995,134.421864975,134.421864975
7748.0,424.725163319,212.362581659,106.18129083,106.18129083
7749.0,1088.99139721,544.495698605,272.247849303,272.247849303
7750.0,1187.57469364,593.78734682,296.89367341,296.89367341
7751.0,1698.64647903,849.323239515,424.661619757,424.661619757
7752.0,2104.38119519,1052.1905976,526.095298798,526.095298798
7753.0,2297.84410621,1148.92205311,574.461026553,574.461026553
7754.0,2195.95654459,1097.97827229,548.989136147,548.989136147
7755.0,1967.38127716,983.69063858,491.84531929,491.84531929
7756.0,2172.35465042,1086.17732521,543.088662605,543.088662605
7757.0,2303.47225021,1151.7361251,575.868062552,575.868062552
7758.0,1805.07286646,902.53643323,451.268216615,451.268216615
7759.0,532.603975,266.3019875,133.15099375,133.15099375
7760.0,488.159792739,244.07989637,122.039948185,122.039948185
7761.0,604.172180258,302.086090129,151.043045065,151.043045065
7762.0,446.765701418,223.382850709,111.691425355,111.691425355
7763.0,338.886889738,169.443444869,84.7217224345,84.7217224345
7764.0,462.379262179,231.18963109,115.594815545,115.594815545
7765.0,533.402808341,266.70140417,133.350702085,133.350702085
7766.0,529.009224964,264.504612482,132.252306241,132.252306241
7767.0,530.134853763,265.067426882,132.533713441,132.533713441
7768.0,413.396254116,206.698127058,103.349063529,103.349063529
7769.0,510.744989933,255.372494967,127.686247483,127.686247483
7770.0,881.185796652,440.592898326,220.296449163,220.296449163
7771.0,832.130167376,416.065083688,208.032541844,208.032541844
7772.0,556.096937355,278.048468678,139.024234339,139.024234339
7773.0,489.46697457,244.733487285,122.366743642,122.366743642
7774.0,427.15797395,213.578986975,106.789493487,106.789493487
7775.0,1555.36482609,777.682413045,388.841206522,388.841206522
7776.0,2482.55616108,1241.27808054,620.63904027,620.63904027
7777.0,2834.15176307,1417.07588154,708.537940768,708.537940768
7778.0,2685.56876159,1342.7843808,671.392190398,671.392190398
7779.0,1715.74877466,857.87438733,428.937193665,428.937193665
7780.0,1571.99508383,785.997541915,392.998770958,392.998770958
7781.0,1726.85982022,863.42991011,431.714955055,431.714955055
7782.0,1596.57736438,798.28868219,399.144341095,399.144341095
7783.0,609.001490912,304.500745456,152.250372728,152.250372728
7784.0,601.194710531,300.597355265,150.298677633,150.298677633
7785.0,737.722590678,368.861295339,184.43064767,184.43064767
7786.0,728.790181498,364.395090749,182.197545375,182.197545375
7787.0,748.506840785,374.253420393,187.126710196,187.126710196
7788.0,480.461944177,240.230972088,120.115486044,120.115486044
7789.0,286.781169522,143.390584761,71.6952923805,71.6952923805
7790.0,301.9226924,150.9613462,75.4806731,75.4806731
7791.0,220.804797653,110.402398826,55.2011994132,55.2011994132
